"Uh... Laisses-mon voir: cinque douzaines d’oufs, un demi-gallon de couche couche, et deux livres du pain perdu.","Uh, let me see. 5 dozen eggs, a half gallon of couche couche, and two pounds of pain perdu."
"Mais ça, ça va te tuer, ouais, mon bon vieux mari.","But that will kill you, my good old husband?"
"Et ça ça, va te tuer, ouais, qui m’appelle amour.","But that will kill you, the one who calls me “love”"
"Mais ça, ça va te tuer, ouais, mon bon vieux mari, qui est le meilleur buveur du pays.","But that will kill you, my good old husband, who is the best drinker in the land?"
"Ha! moi, je m’en fou pas mal, moi j’vas mourir quand même",Ha! I don’t care. I’m going to die anyway!
"Ayoù tu veux que je t’enterre, ouais, mon bon vieux mari?","Where do you want me to bury you, my good old husband?"
Ayoù tu veux que je t’enterre qui m’appelle amour?,"Where do you want me to bury you, the one who calls me “love”"
"Ayoù tu veux que je t’enterre, ouais, mon bon vieux mari, qui est le meilleur buveur du pays?","Where do you want me to bury you, who is the best drinker in the land?"
Mais enterres-mon dans le coin de la court et de temps en temps passes-moi une ‘tite bouteille de whiskey pour boire avec le vieux diable.,Bury me in the corner of the yard and every now and then pass me a little bottle of whiskey to drink with the old devil.
La bouteille a ruiné ma vie.,The Bottle has ruined my life
C’est la bouteille qu’a ruiné ma vie.,It is the bottle that has ruined my life
Et tous les soirs quand ça faisait noir,"Every night when it would get dark,"
J’allais à la chasse au longue du bayou Vermillon,I’d go hunting along the Vermillion Bayou
J’ai tué de grands gros chaouis,I killed some big fat raccoons
J’ai fait de bons bouillies de chaoui,I’d make some big coon soups
"Et mon, j’ai cuit de bons gumbos",And I’d make some good gumbos
Avec des lapins de bois,With rabbits from the woods
Tous les soirs quand ma femme se pose des larmes,Every night my wife would start crying
Après soigner mes petits enfants,While she was looking after the kids
Ça ramasse mon voisin et ça va au bar,"She’d get my neighbor, and she’d go with him to the bar"
"Pour S’amuser, danser, courtiser",They’d have fun dancing and courting
C’est la bouteille qu’est après ruiner me vie,It’s bottle that is ruining my life
Ma voisine elle m’a dit mon j’suis un bon à rien,My neighbor she tells me I’m good for nothing
Son mari m’a dit qu’il m’aurait tuer,Her husband says he should kill me
J’allais boire un fifth du whiskey.,I’d go drink a fifth of whiskey
"Hey, yaille, depuis l’âge de quatorze ans,","Hey, since the age of fourteen"
J’après rouler manche à manche,I’ve rambled from road to road
Après rouler avec ma bouteille dans la main,Rambling with my bottle in hand
Pour essayer d’en trouver une autre comme toi,"Trying to find another like you,"
T’es la seule mon couer désire,You’re the only one my heart desires
"Hey, bébé, Chaque fois je pars de la maison","Hey Baby, each time I leave my house"
Pop et mom se mettent à pleurer,Pop and mom start crying
Ça me suit jusqu’à la porte du cour,They follow me to the gate of the yard
"En disant, “ Toi t’es un bon à rien”","Saying “You’re good for nothing,"
"Fait pas ça, viens, donc nous rejoindre",“Don’t do that and come back and join us.”
"Oh,ye yaille, mais moi j’ai toujours dit","Oh, I always said"
Toujours dit à mon vieux pop et à ma chère vieille bonne maman,Always said to my old pop and to my dear old mom
"Moi, je connais j’suis un bon à rien",I know I’m a good for nothing
J’suis un bon à rien pour moi-même,I’m good for nothing for myself
J’ai jamais fait rien pour personne,I never did anything for anybody
Hey Bébé,"Hey Baby,"
Aujourd’hui N’importe ayoù moi j’peux passer,"Today, no matter where I go"
"Ça me pointe au doigt, chère","They point their fingers at me, dear"
"En disant, “Gardez-là le bon à rien, le rouleur et bambocheur”","Saying, “Look there, at the good for nothing, the drunken rambler"""
"Hey, chère, Aujourd’hui J’suis condamné à rouler","Hey, dear, Today I’m condemned to ramble"
Ma bourouette sur ma planche de six pouces,"My wheelbarrow on my six-inch plank,"
Quatre-vingt dix neuf ans.,For ninety –nine years
"Quatre-vingt dix neuf ans, c’est la limite d’un bon a rien","Ninety-nine years, that’s the limit for a good for nothing."
Ça c’est le restant de ma vie,That’s the rest of my life
Aussi loin de cette la moi j’aime,So far from the one I love
Et quand j’étais petit moi je braillais pour des patates,When I was little I cried for my potato
"Et quand moi j’suis devenu moyen, Moi, je braillais pour ma bouteille","And when I got older, I’d cry for my bottle"
"Asteur, moi j’suis grand j’après brailler pour les ‘tites veuves",Now I’m grown and I’m crying for the little widows
Je serais content d’avoir une et de l’amener à ma maison.,"I’d be so happy to have one, and bring her back to my house."
N’importe ayoù moi je m’en vas mais ça me convient pas,"No matter where I go, It’s not good enough for me"
Oh si j’aurias des ailes comme toutes les hirondelles,"Oh, if I had wings like all the swallows"
J’irais me reposer Auprès de toi la belle,"I would go put myself near you, beautiful"
Te raconter mes peines et ensuite mes amitiés,"I’d tell you of my pains, and then of my love"
Allons à la cantine pour boire et bien rire et bien se divertir,Let’s go to the bar to drink and laugh heartily and to have a good time
Nous et nos amis,Our friends and us
Parlez-nous à boire et pas de marriage,Speak to us about drinking not about marrying
Quand on se marrie on est là après s’ennuyer,When a person gets married he’s there all lonely
Toujours en regrettant nos jolis temps passés,Always regretting the pretty times past
"Quand je vois ta chère figure auprès de la miene, Ça me fait frémir","When I see her dear face near mine, It makes me tremble"
Elle porte des lis et de la dentelle dans ses beaux cheveux boucles,She wears lilies and lace in her beautiful curly hair
Pour paraître la plus belle aux yeux des marriés,To seem the most beautiful to the young married ones.
J’ai arrive hier au soir à la maison,I arrived last night at the house
"J’ai cogné, j’ai crié, j’ai eu pas de réponse","I knocked and cried, but I had no response"
J’ai connu au moment t’étais pas là,I knew at that moment that you weren’t there
Quel espoir et quel avenir mais moi je peux avoir,So what hope and what future can I have?
"Bambocheur, trainailleur et gros gambleur","A drunk, a rambler, and a gambler"
C’est tout que j’ai été jusqu’à te rejoindre,That’s all I was before I met you
"Je promets, chère ‘tite fille, de plus faire ça",I promise I won’t do that anymore
C’est si dur de connais que t’es pas là,It’s so hard knowing you’re not around
"Oh, fais trois tours de la table ronde.","Oh, make three rounds around the round table"
Allons chercher et de quoi de nous se divertir mais comme un camarade,Let’s seek and we’ll amuse ourselves like friends
Un de nos plus grands de nous ivrognes était au lit malade,One of the biggest drunks of all of us was in bed sick
"Et lui, il était coucher en bas d’un table de verres",He went to bed under a table covered with glasses
Et tous les temps en temps il gouttait une goutte degouttée degouttée,And every now and then he’d have a dripped drop dripped to him
"Ouais, une goutte degouttée c’est pour le satisfaire","Yes, a dripped drop to satisfy him"
Quoi tu veux savoir?,What do you wanna know?
Ayoù t’as passé hier au soir?,Where did you go last night?
J’suis parti me saouler.,I went to get drunk
"Je t’ai déja dit, je suis parti me saouler",I already said– I went to get drunk
"T’es arrive à ce matin, et ta robe a été toute dechirée!",You came in this morning and your robe was all ripped
Ça fait de la peine pour moi!,That hurts me!
"Mais je t’ai dit, c’est pas tes affaires!","But I told you, it’s none of your business"
Quoi tu veux?,What do you want?
Avec qui t’as couché hier au soir?,With whom did you sleep last night?
Tu ne sauras jamais.,You’ll never know.
"Oh, no, no, j’veux pas entendre ce que t’as à dire, là!","Oh, no, no, I don’t want to hear what you have to say, there!"
"Mon, j’ai roulé dans les chemins","Me, I rambled in the roads"
Avec un quart dans la poche et une jogue à plombeau,"With a quart in my pocket, and a corked jug in my hand"
"Mon, j’ai jonglé","Me, I thought"
Moi jai pleuré,"Me, I cried"
"Oh tit monde, tes parents sont tous contre moi","Oh, little world, your cousins are all against me"
Ton papa a ete fâché,Your dad was mad
Il t’as dit qu’il fallait qu’tu grandisses,He told you that you have to grow up more
"Ta maman a été fâchée, ça m’a appelé un bambocheur","Your mom was mad, she would call me a drunk"
On a été du mal encore,"We still had some trouble,"
Tu peux remercier à ton papa,"Thanks to your dad,"
On a eu pour separer,We had to separate
Tu peux remercier à ta maman,"You can thank your mom,"
J’ai bamboché d’un bar a l’autre,I go around from one bar to another
Quand les blues me prend,"When the blues take me,"
"Mon, j’suis gone,",I’m gone away
"Mon, j’suis parti me saouler",I’m off to get drunk
J’suis gone de la maison pour rejoindre ma chère ‘tite fille,And I’m gone to the house to see my dear little girl
"Quand mon, j’arrive à la maison, ma ‘tite femme après quereller","When I get to the house, my little girl starts arguing"
"Mon je la demande, “Pourquoi tu querelles?”",I ask her “Why are you arguing with me?”
"Elle me reponde, “Mon neg, c’est pour ça je querelle parce que je te vois tout les temps parti”","She answers, “It’s for this that I’m always arguing because I see you’re always gone.”"
"Quand mon j’étais vaillante, j’aperçoive ma maitresse","When I was a noble youth, I noticed my mistress"
Si je serais près d’elle je lui ferais l’amour,"If I would be near her, I’d make love to her"
Je suis dans ma chaumière à bénir mon chagrin.,"I’m in my hut, blessing my sorrows"
"“O, du chagrin”, a dit-elle, “ne prenez-en pas un tas","“Oh, sorrow,” said she, “don’t let it get to you."
Vous avez des maitresses bien plus jolies que moi,“You have other mistresses far prettier than I.
"Allez-vous en les voir, retirez-vous de moi.”","“Go see them, go away from me.”"
“Des fois je me retire juste pour me retirer,"Sometimes I do go away, just to do it."
"Toi, tu n’es pas si belle, tu as des vanités",You’re not so beautiful- you have your vanities.
J’estime mieux ma bouteille que toi dans tes beautés.”,I prefer my bottle to you in your beauties.
"Buvons, chers camamrades, abandonnons l’amour","Let’s go drink, dear friends, let’s abandon love."
"Abandonnons les filles, nous les fréquenterons plus","Let’s abandon the girls, we won’t visit them any more."
Ça vaut les difficultés souvent elles ne les ont pas.,It’s worth the troubles they often don’t have.
Si que tu te maries avec une jolie fille t’es dans le grand danger ça va te la voler,"If you marry a pretty girl, you’re in big trouble- someone’s going to steal her."
Si que tu te maries avec une villaine fille t’es dans le grand danger faudra tu vies ta vie avec,"If you marry an ugly girl, you’re in big trouble- you have to life your life with her."
Si que tu te maries avec une fille bien pauvre t’es dans le grand danger faudra tu travailler toute ta vie,"If you marry a poor girl, you’re in big trouble- you’ll have to work all your life."
Si que tu te maries avec une fille qui a de quoi t’es dans le grand danger tu vas attraper les grands reproches,"If you marry a rich girl, you’re in big trouble- you’re going to be reproached."
Fameux toi grand bon à rien toi t’as tout gaspillé mon bien,"“You famous good-for-nothing, you wasted all my wealth”"
